C001,F3,10,S
C002,F3,2,W
C003,F3,3,S
C006,F3,2,S
C010,F2,9,W
C012,F1,9,W
C014,F3,6,S
C015,F3,2,W
C017,F2,2,W
C021,F2,4,S
C022,F2,10,S
C024,F2,5,W
C025,F2,4,S
C026,F1,1,S
C030,F2,9,W
C033,F2,7,S
C035,F3,5,W
C036,F2,6,W
C037,F2,3,S
C039,F3,1,S
C040,F3,4,S
C043,F2,10,S
C044,F3,8,S
C048,F1,1,S
C049,F2,4,W
C050,F3,4,W
C051,F2,3,W
C056,F3,4,W
C057,F3,6,W
C064,F1,4,W
C067,F3,3,S
C069,F3,9,S
C071,F1,6,W
C073,F1,5,W
C077,F2,3,W
C078,F2,10,W
C079,F1,8,W
C081,F2,3,S
C083,F3,1,W
C090,F1,10,S
C093,F1,6,W
C098,F3,8,S
C099,F2,5,S
C100,F3,7,W
C103,F3,3,S
C107,F1,10,S
C111,F1,6,S
C113,F1,4,W
C117,F1,8,W
C124,F2,10,S
C130,F1,8,S
C132,F2,4,S
C133,F3,1,W
C135,F3,3,S
C136,F3,6,W
C141,F1,6,W
C143,F3,4,W
C144,F1,9,S
C145,F3,10,W
C148,F3,4,S
C150,F1,2,S
C152,F1,5,S
C153,F1,10,S
C157,F3,6,S
C158,F2,2,W
C160,F3,6,S
C162,F2,2,W
C171,F2,9,S
C172,F2,8,S
C175,F3,8,W
C176,F1,2,W
C189,F1,10,W
C190,F3,10,S
C192,F3,1,W
C196,F3,7,W
C197,F3,3,W
C200,F2,2,W
C207,F1,2,S
C209,F1,10,W
C212,F1,9,S
C216,F3,4,W
C217,F3,8,S
C219,F2,2,W
C221,F3,2,W
C222,F3,6,S
C226,F2,3,W
C228,F2,9,W
C231,F2,9,S
C234,F2,2,W
C241,F3,5,W
C245,F1,1,W
C251,F2,10,W
C253,F1,6,W
C259,F2,5,W
C263,F1,8,W
C265,F1,9,W
C267,F1,6,W
C269,F2,8,S
C273,F1,6,S
C280,F3,2,S
C289,F2,6,W
C290,F1,4,W
C293,F3,4,W
C298,F2,7,W
C300,F1,2,S
